States,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andaman and Nicobar Islands,16,16,18,19,14,10,7,9,4,5,5,3,2,3,6,3,3,0,0,6.24,14,0,15,7,0,0,NR,NR
Andhra Pradesh,11580,13520,13442,13650,10805,9343,10957,8702,7298,4741,4054,4000,3850,3706,2034,2135,1997,1394,1541,1381,1015,8869,9289,2803,4253,3895,2713,1884
Arunachal Pradesh,32,33,35,30,20,19,22,20,18,18,17,13,17,15,143,17,2,17,16,10,10,10,17,0,18,18,17,18
Assam,575,619,595,637,552,432,316,300,284,260,260,245,237,181,175,170,165,165,158,150,19,150,160,183,190,197,NR,306
Bihar,2000,2200,2300,1423,1492,1462,1383,1039,1150,834,832,853,890,1010,860,850,875,890,870,915,828,675,655,687,765,787,831,840
Chandigarh,3,3,2,2,2,1,3,3,3,3,4,2,1,1,1,1,0.78,0,0,0,0,0,0,0,0,0,NR,NR
Chhattisgarh,5500,4100,5400,4792,4531,4985,4560,4545,4642,4803,3646,0,0,0,332,486,450,550,570,270,205,570,600,812,1016,1020,1625,1495
Dadra and nagar Haveli,6,6,5,7,6,5,7,4,4,4,2,6,4,5,5,5,4,0,0,0,0,0,0,0,0,0,NR,NR
Daman and Diu,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,NR,NR
Delhi,100,71,75,78,72,58,76,61,65,64,62,55,58,60,56,53,39,0,57,57,49,48,0,0,48,0,NR,88
Goa,22,22,19,22,9,10,4,2,2,4,4,6,5,5,5,5,5,9,2.3,9,10,9,8,9,9,9,48,22
Gujarat,5500,4100,5400,4792,4531,4985,4560,4545,4642,4803,3646,2822,4100,4500,4000,2900,2700,2670,2660,2650,2750,2600,2190,1210,2330,1840,1980,1713
Haryana,4690,5156,5265,5200,5200,5100,5100,5040,5045,5035,5025,5025,5020,5012,4730,4520,4560,4600,4391,4288,4070,4060,4050,4050,4080,4070,NR,4050
Himachal Pradesh,338,232,240,361,270,280,300,300,200,276,385,302,311,380,360,310,300,292,296,322,328,328,310,320,344,357,450,341
Jammu and Kashmir,115,123,47,91,99,50,108,63,78,75,26,1,4,98,9,12,1433,829,1248,2679,1640,1818,1711,1789,1723,1921,2251,2188
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,150,36,40,56,69,70,82,81,85,89,84,151,151,430,650,493,541
Karnataka,4380,4150,4295,4125,4164,3640,3924,3665,2962,2600,2484,2020,2500,2700,1692,2200,1638,1362,1588,1675,1647,1858,1412,1615,1735,1709,1434,1279
Kerala,970,980,720,700,682,1384,1280,1141,602,1161,1069,754,1345,902,326,360,571,545,880,273,631,657,807,712,1276,919,1123,1070
Lakshadweep,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,NR,NR
Madhya Pradesh,3036,5000,4000,2134,2432,2771,1748,1159,1641,1643,1528,871,714,1026,62,749,787,957,696,663,645,633,850,846,987,696,732,694
Maharashtra,4470,4920,5660,6450,3021,3647,5097,4567,3649,3468,3614,3239,3135,3725,3385,3030,3198,3193,3050,2400,4639,8317,6723,6618,10969,11239,11665,13496
Manipur,16,40,51,41,43,25,41,31,20,31,21,20,14,19,25,26,28,26,26,30,30,30,33,30,31,30,30,33
Meghalaya,46,24,19,22,14,17,20,20,8,9,8,6,6,6,6,8,6,9,6,0,6,10,9,0,44,28,NR,NR
Mizoram,15,18,18,25,24,21,21,18,17,16,19,8,26,15,15,25,25,40,44,44,39,4,4,4,508,806,NR,NR
nagaland,18,6,19,15,9,11,9,9,9,9,10,8,7,7,7,5,5,5,5,18,14,0,15,0,16,16,20,NR
Odisha,1900,3300,3000,2100,1096,1580,1293,885,924,942,998,1006,1018,1134,682,692,963,778,0,1156,1588,871,555,606,1219,1680,723,770
Puducherry,152,163,152,152,150,130,118,115,81,71,70,65,58,57,46,42,41,40,41,39,39,39,38,41,41,42,43,42
Punjab,6000,6500,6500,6300,7400,7300,7200,7300,7150,6760,6972,7005,7200,7200,6780,6900,5610,5975,6080,5760,5810,5730,5625,5730,5723,5699,5743,5843
Rajasthan,3230,3198,2981,3200,3266,3308,3210,3075,3211,3465,2547,3040,4628,3200,2303,1628,1008,3567,3804,3333,3527,3623,2802,2559,2736,1457,2475,1252
Sikkim,32,30,30,32,21,20,26,16,16,15,-,4,2,3,3,0,0,2,6,3,4,0,0,0,0,0,NR,NR
Tamilnadu,10000,7500,3500,5500,5177,3394,2080,1851,1809,1730,1685,1668,1576,3346,1434,2466,2211,2048,3940,2317,2335,2361,1968,1766,2142,2096,2096,2000
Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805,2950,3840
Tripura,8910,8990,9000,9000,8254,7970,8110,7859,7444,7419,7459,11,16,88,118,17,14,19,27,38,55,12,266,272,310,307,293,298
Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,7023,6951,6775,6710,6855,6672,7414,7332,8968,9563,8460,8839,9057,10164,9867,10457,10142
Uttarakhand,3600,4040,4607,4625,4785,4370,4213,4291,3882,3678,3370,99,105,129,147,132,141,207,270,221,222,199,206,247,174,133,217,131
West Bengal,140,70,135,58,19,12,25,22,19,16,17,3250,3180,3000,3900,4000,4250,3830,3945,4100,0,3515,3670,3465,3190,3060,3712,2624
India,71894,75033,72133,70794,63651,61357,61260,56114,52239,49157,46195,43584,47020,48350,41020,40672,39773,41515,43630,43860,41822,55540,52979,45619,60282,57353,54121,57000
