States/UTs,2007-08,2008-09,2009-10
Andhra Pradesh,1300,1400,1350
Assam,186,183,170
Arunachal Pradesh,16,1000,10
Bihar,960,950,1045
Chhattisgarh,570,610,620
Goa,7,680,9.5
Gujarat,2750,2730,2850
Haryana,4650,4405,4185
Himachal Pradesh,292,298,335
Jammu and Kashmir,1011,128146,2467.81
Jharkhand,80,82,89
Karnataka,1975,1900,1700
Kerala,364,549,465.73
Madhya Pradesh,729,731,729
Maharashtra,3200,3000,2700
Manipur,33,30,34.47
Meghalaya,8,-,6
Mizoram,56,56,34
Nagaland,8,-,15.3
Orissa,1136,1156,810
Punjab,6600,6500,6500
Rajasthan,3050,3575,2925
Sikkim,5,3,4.22
Tamil Nadu,2155,3984,3313.41
Tripura,25,23,40
Uttar Pradesh,7075,7100,9500
Uttarakhand,279,236,235.06
West Bengal,4200,4250,Nil
Andaman and Nicobar Islands,NA,24,17.83
Chandigarh,1,-,1
Delhi,60,60,55
Dadra and Nagar Haveli,NA,-,NA
Daman and Diu,NA,-,NA
Lakshadweep,NA,-,NA
Puducherry,46,47,46.93
India,42827,45180,42264
