District,lat,lon
Bagasara,21.4884946,70.9517078
Savli(Desar),22.7101619,73.2939397
Vijapur,23.5609405,72.7510921
Nasvadi(Thalkala),22.0451316,73.7316042
Khambhat,22.3180817,72.6189845
Vadali,23.9419984,73.0375761
Harij,23.6893797,71.9075292
Rapar,23.5729757,70.6447369
Kosamba,21.4554227,72.9578676
Nasvadi,22.0451316,73.7316042
Mehsana(Jornang),23.4398032,72.4413484
Siddhpur,23.9196207,72.3668366
Valia,21.5718403,73.1615127
Himatnagar(Gambhoi),23.6,73.097834
Sangli,16.8523973,74.5814773
Dhandhuka,22.3796555,71.9816261
Hasot,21.5828463,72.811666
Palanpur,24.174051,72.4330989
Bodeli,22.2732666,73.714899
Dholka,22.7428431,72.4435674
Thattanchavady,11.9451274,79.8051595
Visnagar,23.6977038,72.5382293
Vankaner,22.6213691,70.9530477
Deesa(Bhildi),24.18345,72.033332
Idar,23.8395124,73.0006449
Upleta,21.7395387,70.2795033
Ujjain,23.1793013,75.7849097
Dahod,22.8379314,74.2531465
Barasat,22.7228159,88.480552
Jodhpur(F&V)(Bhadwasia),26.2389469,73.0243094
Gogamba,22.5713254,73.643319
Jodhpur (Grain)(Mandor),26.306587,73.035781
Manavdar,21.493179,70.1366499
Kapadvanj,23.0200163,73.0700421
Modasa(Tintoi),23.6153903,73.3348238
Samsi,25.2734916,88.0039972
Dhrol,22.5617178,70.4223635
Virudhachalam,11.5195875,79.3251583
Vengeri(Kozhikode),11.3044796,75.7967371
Byadagi,14.6814129,75.4869033
Alwar,27.5529907,76.6345735
Villupuram,11.9368897,79.4872619
Rajkot,22.3038945,70.8021599
Amirgadh,24.4069659,72.6402482
Lalpur,23.3697654,85.343609
Khammam,17.2472528,80.1514447
Pune,18.5204303,73.8567437
Visavadar,21.3410369,70.7522299
Thiruvananthapuram,8.5241391,76.9366376
Fazilka,30.4036478,74.0279621
Khedbrahma,24.0290993,73.0434794
Nagpur,21.1458004,79.0881546
Kapadanj(Moti Jaher),23.020016,73.070042
Kalawad,22.2124749,70.5874735
Vadhvan,22.711454,71.6732681
Moovattupuzha,9.9894229,76.5789749
Himatnagar,23.6036268,72.9639461
Junagadh,21.522184,70.4578768
Jetpur-Pavi,21.7354381,70.6435043
Mumbai,19.0759837,72.8776559
Ahmedabad,23.022505,72.5713621
Bhopal,23.2599333,77.412615
Kolhapur,16.7049873,74.2432527
Jaipur (Grain),26.9253749,75.8085122
Hubli (Amaragol),15.3994715,75.0830157
Vadodara,22.3071588,73.1812187
Chotila,22.4235817,71.1946097
Bishalgarh,23.6739542,91.2816811
Bhesan,21.5548528,70.7034651
Patan,23.8493246,72.1266255
Jalukie,25.5708678,93.728511
Amreli,21.6031774,71.2220832
Jagraon,30.7915511,75.4694285
Anjar,33.7285277,35.9346553
Talod,23.3512271,72.9504954
Una,33.79694,-88.80694
Vagodiya,22.3036529,73.3985737
Jhagadiya,21.719148,73.1497549
"Binny Mill (F&V), Bangalore",13.102585,80.252716
Karjan,22.055216,73.1172573
Rajula,21.0411065,71.4488241
Dhoraji,21.7398165,70.4491417
Dhari,21.326649,71.0252571
Savli,22.5615897,73.2219811
Mysore (Bandipalya),12.262159,76.6600415
Jamnagar,22.4707019,70.05773
Jasdan,22.0356088,71.2017779
Kadi,23.29785,72.3310025
Bhiloda,23.7633469,73.2440996
Dhansura,23.3497526,73.208709
Modasa,23.4628686,73.2999385
Babra,21.8453485,71.3082078
Khuzama,25.5307473,94.133465
Gadada,21.9681716,71.5753626
Taleja,28.873146,75.9159059
Botad(Haddad),22.1896539,71.6334588
Nizar,21.4770427,74.1959204
Savli(Samlaya),22.5355946,73.2767805
Viramgam,23.1236377,72.0527421
Ranpur,22.352089,71.7177611
Kota,44.0668431,-103.2502728
Kosamba(Vankal),21.4608876,73.3177542
Jam Khambalia,22.2052603,69.6587765
Narela,28.8539597,77.0917838
Bhavnagar,21.7644725,72.1519304
Jamkandorna,21.8817053,70.4010813
Palitana,21.5346305,71.8274846
Chandigarh (F&V),30.727962,76.803277
Gondal,21.9619463,70.792297
Kharupetia,26.5096965,92.1352039
Halvad,23.013705,71.1823868
Savarkundla,21.3376984,71.3052383
Unava,23.7667258,72.3624644
Becharaji,23.4989398,72.0438536
Jetpur(Dist.Rajkot),21.7615246,70.6276279
Sayala,19.2000843,76.7971247
Limdi,23.0088266,74.1558712
Jam Jodhpur,21.9025447,70.0337715
Bodeli(Hadod),23.141656,73.527019
Amod,21.9942159,72.8692711
Mahuva(Station Road),21.0943331,71.7568713
Valia(Nethrang),21.5714986,73.1606948
Bodeli(Kalediya),22.2732666,73.714899
Bodeli(Modasar),22.2700029,73.716473
Margao,15.2832187,73.986191
K.Mandvi,22.833334,69.3554783
Kosamba(Zangvav),21.4554227,72.9578676
Mahuva,21.0921598,71.7704631
Mansa,29.9995069,75.3936808
Morbi,22.8119895,70.8236195
Kotkapura,30.5913084,74.811534
Chandigarh(Grain/Fruit),30.7233131,76.8079895
Uchhal,26.5345987,86.0717975
Bangalore,12.9715987,77.5945627
Vijapur(Gojjariya),16.8365003,75.7342416
Khanna,30.7070769,76.2169907
Ambala City,30.3781788,76.7766974
Jaipur(F&V),26.9124336,75.7872709
Patiala,30.3397809,76.3868797
Botad(Bhabarkot),22.2531395,71.5973325
Botad,22.1704232,71.6684269
